ID,Wort (Deutsch),Artikel,Plural,Wortart,Bedeutung (Indonesisch),Niveau,Thema (Netzwerk Neu),Beispielsatz (Deutsch),Beispielsatz (Indonesisch)
"wort-2093","entfahren","","","Verb","mengemudi / bepergian (ent-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entfahren' sehr häufig: Sie fahren mit der Bahn nach München.","Dalam bahasa Jerman kata 'entfahren' berarti mengemudi / bepergian (melepaskan diri)."
"wort-2094","befahren","","","Verb","mengemudi / bepergian (be-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'befahren' sehr häufig: Sie fahren mit der Bahn nach München.","Dalam bahasa Jerman kata 'befahren' berarti mengemudi / bepergian (mengenai objek)."
"wort-2095","zerfahren","","","Verb","mengemudi / bepergian (zer-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerfahren' sehr häufig: Sie fahren mit der Bahn nach München.","Dalam bahasa Jerman kata 'zerfahren' berarti mengemudi / bepergian (menghancurkan)."
"wort-2096","wiederfahren","","","Verb","mengemudi / bepergian (wieder-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederfahren' sehr häufig: Sie fahren mit der Bahn nach München.","Dalam bahasa Jerman kata 'wiederfahren' berarti mengemudi / bepergian (kembali/ulang)."
"wort-2097","antragen","","","Verb","membawa / mengenakan pakaian (an-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'antragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'antragen' berarti membawa / mengenakan pakaian (pada/ke)."
"wort-2098","abtragen","","","Verb","membawa / mengenakan pakaian (ab-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abtragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'abtragen' berarti membawa / mengenakan pakaian (mulai dari/melepaskan)."
"wort-2099","auftragen","","","Verb","membawa / mengenakan pakaian (auf-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'auftragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'auftragen' berarti membawa / mengenakan pakaian (ke atas/terbuka)."
"wort-2100","austragen","","","Verb","membawa / mengenakan pakaian (aus-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'austragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'austragen' berarti membawa / mengenakan pakaian (keluar/dari)."
"wort-2101","beitragen","","","Verb","membawa / mengenakan pakaian (bei-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beitragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'beitragen' berarti membawa / mengenakan pakaian (pada/di dekat)."
"wort-2102","eintragen","","","Verb","membawa / mengenakan pakaian (ein-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'eintragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'eintragen' berarti membawa / mengenakan pakaian (ke dalam/memasuki)."
"wort-2103","mittragen","","","Verb","membawa / mengenakan pakaian (mit-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mittragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'mittragen' berarti membawa / mengenakan pakaian (bersama/turut)."
"wort-2104","nachtragen","","","Verb","membawa / mengenakan pakaian (nach-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachtragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'nachtragen' berarti membawa / mengenakan pakaian (menuju/sesudah)."
"wort-2105","vortragen","","","Verb","membawa / mengenakan pakaian (vor-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vortragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'vortragen' berarti membawa / mengenakan pakaian (di depan/sebelum)."
"wort-2106","zutragen","","","Verb","membawa / mengenakan pakaian (zu-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zutragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'zutragen' berarti membawa / mengenakan pakaian (menutup/ke arah)."
"wort-2107","übertragen","","","Verb","membawa / mengenakan pakaian (über-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'übertragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'übertragen' berarti membawa / mengenakan pakaian (melalui/melebihi)."
"wort-2108","untertragen","","","Verb","membawa / mengenakan pakaian (unter-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'untertragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'untertragen' berarti membawa / mengenakan pakaian (di bawah)."
"wort-2109","vertragen","","","Verb","membawa / mengenakan pakaian (ver-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vertragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'vertragen' berarti membawa / mengenakan pakaian (proses perubahan)."
"wort-2110","enttragen","","","Verb","membawa / mengenakan pakaian (ent-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'enttragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'enttragen' berarti membawa / mengenakan pakaian (melepaskan diri)."
"wort-2111","betragen","","","Verb","membawa / mengenakan pakaian (be-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'betragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'betragen' berarti membawa / mengenakan pakaian (mengenai objek)."
"wort-2112","zertragen","","","Verb","membawa / mengenakan pakaian (zer-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zertragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'zertragen' berarti membawa / mengenakan pakaian (menghancurkan)."
"wort-2113","wiedertragen","","","Verb","membawa / mengenakan pakaian (wieder-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiedertragen' sehr häufig: Er trägt ein hellblaues Hemd.","Dalam bahasa Jerman kata 'wiedertragen' berarti membawa / mengenakan pakaian (kembali/ulang)."
"wort-2114","anbringen","","","Verb","membawakan (an-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'anbringen' berarti membawakan (pada/ke)."
"wort-2115","abbringen","","","Verb","membawakan (ab-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'abbringen' berarti membawakan (mulai dari/melepaskan)."
"wort-2116","aufbringen","","","Verb","membawakan (auf-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'aufbringen' berarti membawakan (ke atas/terbuka)."
"wort-2117","ausbringen","","","Verb","membawakan (aus-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'ausbringen' berarti membawakan (keluar/dari)."
"wort-2118","beibringen","","","Verb","membawakan (bei-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beibringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'beibringen' berarti membawakan (pada/di dekat)."
"wort-2119","einbringen","","","Verb","membawakan (ein-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'einbringen' berarti membawakan (ke dalam/memasuki)."
"wort-2120","mitbringen","","","Verb","membawakan (mit-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'mitbringen' berarti membawakan (bersama/turut)."
"wort-2121","nachbringen","","","Verb","membawakan (nach-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'nachbringen' berarti membawakan (menuju/sesudah)."
"wort-2122","vorbringen","","","Verb","membawakan (vor-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'vorbringen' berarti membawakan (di depan/sebelum)."
"wort-2123","zubringen","","","Verb","membawakan (zu-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zubringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'zubringen' berarti membawakan (menutup/ke arah)."
"wort-2124","überbringen","","","Verb","membawakan (über-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'überbringen' berarti membawakan (melalui/melebihi)."
"wort-2125","unterbringen","","","Verb","membawakan (unter-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'unterbringen' berarti membawakan (di bawah)."
"wort-2126","verbringen","","","Verb","membawakan (ver-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'verbringen' berarti membawakan (proses perubahan)."
"wort-2127","entbringen","","","Verb","membawakan (ent-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'entbringen' berarti membawakan (melepaskan diri)."
"wort-2128","bebringen","","","Verb","membawakan (be-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bebringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'bebringen' berarti membawakan (mengenai objek)."
"wort-2129","zerbringen","","","Verb","membawakan (zer-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'zerbringen' berarti membawakan (menghancurkan)."
"wort-2130","wiederbringen","","","Verb","membawakan (wieder-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederbringen' sehr häufig: Das bringt uns dem Erfolg näher.","Dalam bahasa Jerman kata 'wiederbringen' berarti membawakan (kembali/ulang)."
"wort-2131","andenken","","","Verb","berpikir (an-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'andenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'andenken' berarti berpikir (pada/ke)."
"wort-2132","abdenken","","","Verb","berpikir (ab-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'abdenken' berarti berpikir (mulai dari/melepaskan)."
"wort-2133","aufdenken","","","Verb","berpikir (auf-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'aufdenken' berarti berpikir (ke atas/terbuka)."
"wort-2134","ausdenken","","","Verb","berpikir (aus-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'ausdenken' berarti berpikir (keluar/dari)."
"wort-2135","beidenken","","","Verb","berpikir (bei-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beidenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'beidenken' berarti berpikir (pada/di dekat)."
"wort-2136","eindenken","","","Verb","berpikir (ein-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'eindenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'eindenken' berarti berpikir (ke dalam/memasuki)."
"wort-2137","mitdenken","","","Verb","berpikir (mit-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'mitdenken' berarti berpikir (bersama/turut)."
"wort-2138","nachdenken","","","Verb","berpikir (nach-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'nachdenken' berarti berpikir (menuju/sesudah)."
"wort-2139","vordenken","","","Verb","berpikir (vor-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vordenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'vordenken' berarti berpikir (di depan/sebelum)."
"wort-2140","zudenken","","","Verb","berpikir (zu-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zudenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'zudenken' berarti berpikir (menutup/ke arah)."
"wort-2141","überdenken","","","Verb","berpikir (über-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'überdenken' berarti berpikir (melalui/melebihi)."
"wort-2142","unterdenken","","","Verb","berpikir (unter-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'unterdenken' berarti berpikir (di bawah)."
"wort-2143","verdenken","","","Verb","berpikir (ver-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'verdenken' berarti berpikir (proses perubahan)."
"wort-2144","entdenken","","","Verb","berpikir (ent-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'entdenken' berarti berpikir (melepaskan diri)."
"wort-2145","bedenken","","","Verb","berpikir (be-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bedenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'bedenken' berarti berpikir (mengenai objek)."
"wort-2146","zerdenken","","","Verb","berpikir (zer-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'zerdenken' berarti berpikir (menghancurkan)."
"wort-2147","wiederdenken","","","Verb","berpikir (wieder-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederdenken' sehr häufig: Ich denke intensiv über diese Frage nach.","Dalam bahasa Jerman kata 'wiederdenken' berarti berpikir (kembali/ulang)."
"wort-2148","anwissen","","","Verb","mengetahui (an-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'anwissen' berarti mengetahui (pada/ke)."
"wort-2149","abwissen","","","Verb","mengetahui (ab-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'abwissen' berarti mengetahui (mulai dari/melepaskan)."
"wort-2150","aufwissen","","","Verb","mengetahui (auf-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'aufwissen' berarti mengetahui (ke atas/terbuka)."
"wort-2151","auswissen","","","Verb","mengetahui (aus-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'auswissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'auswissen' berarti mengetahui (keluar/dari)."
"wort-2152","beiwissen","","","Verb","mengetahui (bei-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beiwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'beiwissen' berarti mengetahui (pada/di dekat)."
"wort-2153","einwissen","","","Verb","mengetahui (ein-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'einwissen' berarti mengetahui (ke dalam/memasuki)."
"wort-2154","mitwissen","","","Verb","mengetahui (mit-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'mitwissen' berarti mengetahui (bersama/turut)."
"wort-2155","nachwissen","","","Verb","mengetahui (nach-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'nachwissen' berarti mengetahui (menuju/sesudah)."
"wort-2156","vorwissen","","","Verb","mengetahui (vor-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'vorwissen' berarti mengetahui (di depan/sebelum)."
"wort-2157","zuwissen","","","Verb","mengetahui (zu-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zuwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'zuwissen' berarti mengetahui (menutup/ke arah)."
"wort-2158","überwissen","","","Verb","mengetahui (über-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'überwissen' berarti mengetahui (melalui/melebihi)."
"wort-2159","unterwissen","","","Verb","mengetahui (unter-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'unterwissen' berarti mengetahui (di bawah)."
"wort-2160","verwissen","","","Verb","mengetahui (ver-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'verwissen' berarti mengetahui (proses perubahan)."
"wort-2161","entwissen","","","Verb","mengetahui (ent-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'entwissen' berarti mengetahui (melepaskan diri)."
"wort-2162","bewissen","","","Verb","mengetahui (be-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bewissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'bewissen' berarti mengetahui (mengenai objek)."
"wort-2163","zerwissen","","","Verb","mengetahui (zer-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'zerwissen' berarti mengetahui (menghancurkan)."
"wort-2164","wiederwissen","","","Verb","mengetahui (wieder-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederwissen' sehr häufig: Wir wissen die Hilfe sehr zu schätzen.","Dalam bahasa Jerman kata 'wiederwissen' berarti mengetahui (kembali/ulang)."
"wort-2165","ankennen","","","Verb","mengenal (an-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ankennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'ankennen' berarti mengenal (pada/ke)."
"wort-2166","abkennen","","","Verb","mengenal (ab-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'abkennen' berarti mengenal (mulai dari/melepaskan)."
"wort-2167","aufkennen","","","Verb","mengenal (auf-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'aufkennen' berarti mengenal (ke atas/terbuka)."
"wort-2168","auskennen","","","Verb","mengenal (aus-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'auskennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'auskennen' berarti mengenal (keluar/dari)."
"wort-2169","beikennen","","","Verb","mengenal (bei-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beikennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'beikennen' berarti mengenal (pada/di dekat)."
"wort-2170","einkennen","","","Verb","mengenal (ein-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'einkennen' berarti mengenal (ke dalam/memasuki)."
"wort-2171","mitkennen","","","Verb","mengenal (mit-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'mitkennen' berarti mengenal (bersama/turut)."
"wort-2172","nachkennen","","","Verb","mengenal (nach-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'nachkennen' berarti mengenal (menuju/sesudah)."
"wort-2173","vorkennen","","","Verb","mengenal (vor-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'vorkennen' berarti mengenal (di depan/sebelum)."
"wort-2174","zukennen","","","Verb","mengenal (zu-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zukennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'zukennen' berarti mengenal (menutup/ke arah)."
"wort-2175","überkennen","","","Verb","mengenal (über-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'überkennen' berarti mengenal (melalui/melebihi)."
"wort-2176","unterkennen","","","Verb","mengenal (unter-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'unterkennen' berarti mengenal (di bawah)."
"wort-2177","verkennen","","","Verb","mengenal (ver-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'verkennen' berarti mengenal (proses perubahan)."
"wort-2178","entkennen","","","Verb","mengenal (ent-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'entkennen' berarti mengenal (melepaskan diri)."
"wort-2179","bekennen","","","Verb","mengenal (be-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bekennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'bekennen' berarti mengenal (mengenai objek)."
"wort-2180","zerkennen","","","Verb","mengenal (zer-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'zerkennen' berarti mengenal (menghancurkan)."
"wort-2181","wiederkennen","","","Verb","mengenal (wieder-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederkennen' sehr häufig: Kennst du die Sehenswürdigkeiten in Wien?","Dalam bahasa Jerman kata 'wiederkennen' berarti mengenal (kembali/ulang)."
"wort-2182","anbleiben","","","Verb","tinggal / tetap berada (an-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'anbleiben' berarti tinggal / tetap berada (pada/ke)."
